metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,treatment_mean,treatment_std,treatment_ci95_low,treatment_ci95_high,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
total_views,320.000000,0.000000,320.000000,320.000000,320.000000,0.000000,320.000000,320.000000,0.000000,0.000000,0.000000,0.000000,1.000000
total_shares,142.600000,3.996550,141.169853,144.030147,142.600000,3.996550,141.169853,144.030147,0.000000,0.000000,0.000000,0.000000,1.000000
total_negative_feedback,34.233333,4.391868,32.661724,35.804943,41.900000,4.357712,40.340613,43.459387,7.666667,0.479463,7.495093,7.838240,0.000050
avg_watch_ratio,0.634463,0.004280,0.632931,0.635995,0.634463,0.004280,0.632931,0.635995,0.000000,0.000000,0.000000,0.000000,1.000000
avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
comedy_negative_count,5.533333,1.136642,5.126591,5.940075,7.466667,1.041661,7.093913,7.839420,1.933333,0.253708,1.842545,2.024122,0.000050
comedy_traffic_pool_level,0.900000,0.305129,0.790811,1.009189,0.700000,0.466092,0.533211,0.866789,-0.200000,0.406838,-0.345585,-0.054415,0.029699
lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,0.166667,0.379049,0.031026,0.302308,0.133333,0.345746,0.009610,0.257057,0.127244
