metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,treatment_mean,treatment_std,treatment_ci95_low,treatment_ci95_high,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
total_views,320.000000,0.000000,320.000000,320.000000,320.000000,0.000000,320.000000,320.000000,0.000000,0.000000,0.000000,0.000000,1.000000
total_shares,142.866667,5.042805,141.062122,144.671211,142.633333,4.012767,141.197383,144.069284,-0.233333,4.606467,-1.881736,1.415070,0.812509
total_negative_feedback,33.666667,3.924576,32.262275,35.071058,40.766667,4.005886,39.333179,42.200155,7.100000,4.037326,5.655262,8.544738,0.000050
avg_watch_ratio,0.636267,0.002138,0.635502,0.637032,0.636220,0.002412,0.635356,0.637083,-0.000047,0.002471,-0.000931,0.000837,0.916654
avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
comedy_negative_count,5.266667,1.048261,4.891551,5.641782,6.800000,1.126484,6.396893,7.203107,1.533333,0.507416,1.351757,1.714910,0.000050
comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,0.933333,0.253708,0.842545,1.024122,-0.066667,0.253708,-0.157455,0.024122,0.502475
lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,0.200000,0.406838,0.054415,0.345585,0.166667,0.461133,0.001652,0.331681,0.121844
