metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,treatment_mean,treatment_std,treatment_ci95_low,treatment_ci95_high,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
total_views,320.000000,0.000000,320.000000,320.000000,320.000000,0.000000,320.000000,320.000000,0.000000,0.000000,0.000000,0.000000,1.000000
total_shares,141.000000,2.378061,140.149022,141.850978,141.000000,2.378061,140.149022,141.850978,0.000000,0.000000,0.000000,0.000000,1.000000
total_negative_feedback,25.600000,3.069314,24.501660,26.698340,33.433333,2.979046,32.367296,34.499371,7.833333,0.461133,7.668319,7.998348,0.000050
avg_watch_ratio,0.635360,0.002396,0.634502,0.636217,0.635360,0.002396,0.634502,0.636217,0.000000,0.000000,0.000000,0.000000,1.000000
avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
comedy_negative_count,5.233333,0.678911,4.990388,5.476278,7.133333,0.507416,6.951757,7.314910,1.900000,0.305129,1.790811,2.009189,0.000050
comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,0.933333,0.253708,0.842545,1.024122,-0.066667,0.253708,-0.157455,0.024122,0.501675
lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,0.066667,0.253708,-0.024122,0.157455,0.033333,0.182574,-0.032000,0.098667,1.000000
