metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,treatment_mean,treatment_std,treatment_ci95_low,treatment_ci95_high,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
total_views,320.000000,0.000000,320.000000,320.000000,320.000000,0.000000,320.000000,320.000000,0.000000,0.000000,0.000000,0.000000,1.000000
total_shares,140.000000,2.586437,139.074455,140.925545,140.566667,2.979046,139.500629,141.632704,0.566667,3.024992,-0.515813,1.649146,0.339033
total_negative_feedback,25.666667,3.230601,24.510611,26.822722,30.900000,3.144234,29.774850,32.025150,5.233333,2.473073,4.348355,6.118311,0.000050
avg_watch_ratio,0.637308,0.001212,0.636875,0.637742,0.637189,0.001031,0.636820,0.637558,-0.000119,0.001425,-0.000629,0.000390,0.655567
avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
comedy_negative_count,5.166667,0.530669,4.976769,5.356564,6.600000,0.894427,6.279933,6.920067,1.433333,0.626062,1.209300,1.657367,0.000050
comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,0.900000,0.305129,0.790811,1.009189,-0.100000,0.305129,-0.209189,0.009189,0.251387
lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,0.100000,0.305129,-0.009189,0.209189,0.100000,0.305129,-0.009189,0.209189,0.248388
