metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,treatment_mean,treatment_std,treatment_ci95_low,treatment_ci95_high,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
total_views,320.000000,0.000000,320.000000,320.000000,320.000000,0.000000,320.000000,320.000000,0.000000,0.000000,0.000000,0.000000,1.000000
total_shares,141.066667,4.242099,139.548651,142.584682,140.666667,3.099870,139.557392,141.775941,-0.400000,4.553135,-2.029318,1.229318,0.656867
total_negative_feedback,33.533333,3.692801,32.211881,34.854785,40.600000,4.414709,39.020217,42.179783,7.066667,5.323554,5.161657,8.971676,0.000050
avg_watch_ratio,0.635149,0.003238,0.633991,0.636308,0.634014,0.002818,0.633006,0.635023,-0.001135,0.003584,-0.002418,0.000148,0.092645
avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
comedy_negative_count,5.533333,0.819307,5.240148,5.826519,7.000000,0.870988,6.688321,7.311679,1.466667,0.681445,1.222815,1.710519,0.000050
comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,0.866667,0.345746,0.742943,0.990390,-0.133333,0.345746,-0.257057,-0.009610,0.126844
lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455,0.133333,0.345746,0.009610,0.257057,0.066667,0.449776,-0.094284,0.227617,0.690115
