metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,treatment_mean,treatment_std,treatment_ci95_low,treatment_ci95_high,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
total_views,320.000000,0.000000,320.000000,320.000000,320.000000,0.000000,320.000000,320.000000,0.000000,0.000000,0.000000,0.000000,1.000000
total_shares,141.633333,3.595815,140.346587,142.920079,141.133333,4.040599,139.687424,142.579243,-0.500000,4.681217,-2.175152,1.175152,0.592570
total_negative_feedback,34.833333,5.106340,33.006053,36.660614,39.866667,3.421366,38.642346,41.090987,5.033333,5.410611,3.097171,6.969496,0.000100
avg_watch_ratio,0.637395,0.001138,0.636988,0.637802,0.637310,0.000934,0.636975,0.637644,-0.000085,0.001000,-0.000443,0.000273,0.644368
avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
comedy_negative_count,5.533333,1.008014,5.172620,5.894046,7.166667,0.985527,6.814000,7.519333,1.633333,0.556053,1.434352,1.832314,0.000050
comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000,0.766667,0.430183,0.612728,0.920606,-0.200000,0.406838,-0.345585,-0.054415,0.030648
lifestyle_traffic_pool_level,0.033333,0.182574,-0.032000,0.098667,0.233333,0.430183,0.079394,0.387272,0.200000,0.484234,0.026719,0.373281,0.072646
