metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,treatment_mean,treatment_std,treatment_ci95_low,treatment_ci95_high,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
total_views,320.000000,0.000000,320.000000,320.000000,320.000000,0.000000,320.000000,320.000000,0.000000,0.000000,0.000000,0.000000,1.000000
total_shares,141.133333,2.473770,140.248106,142.018561,141.133333,2.473770,140.248106,142.018561,0.000000,0.000000,0.000000,0.000000,1.000000
total_negative_feedback,26.133333,2.825174,25.122358,27.144309,33.900000,2.892916,32.864783,34.935217,7.766667,0.430183,7.612728,7.920606,0.000050
avg_watch_ratio,0.637241,0.000977,0.636892,0.637591,0.637241,0.000977,0.636892,0.637591,0.000000,0.000000,0.000000,0.000000,1.000000
avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
comedy_negative_count,5.366667,0.556053,5.167686,5.565648,7.266667,0.449776,7.105716,7.427617,1.900000,0.305129,1.790811,2.009189,0.000050
comedy_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
lifestyle_traffic_pool_level,0.000000,0.000000,0.000000,0.000000,0.033333,0.182574,-0.032000,0.098667,0.033333,0.182574,-0.032000,0.098667,1.000000
