metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,treatment_mean,treatment_std,treatment_ci95_low,treatment_ci95_high,paired_diff_mean,paired_diff_std,paired_diff_ci95_low,paired_diff_ci95_high,paired_signflip_pvalue
total_views,320.000000,0.000000,320.000000,320.000000,320.000000,0.000000,320.000000,320.000000,0.000000,0.000000,0.000000,0.000000,1.000000
total_shares,141.600000,2.660049,140.648114,142.551886,141.733333,3.095417,140.625652,142.841014,0.133333,3.928089,-1.272315,1.538982,0.892855
total_negative_feedback,32.966667,4.029917,31.524579,34.408754,38.266667,3.759433,36.921371,39.611962,5.300000,3.966671,3.880545,6.719455,0.000050
avg_watch_ratio,0.635771,0.002543,0.634861,0.636680,0.636337,0.002620,0.635400,0.637275,0.000567,0.003335,-0.000627,0.001760,0.354732
avg_traffic_pool_level,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
comedy_negative_count,5.500000,0.820008,5.206564,5.793436,6.900000,0.922889,6.569748,7.230252,1.400000,0.674665,1.158574,1.641426,0.000050
comedy_traffic_pool_level,0.966667,0.182574,0.901333,1.032000,0.900000,0.305129,0.790811,1.009189,-0.066667,0.253708,-0.157455,0.024122,0.501225
lifestyle_traffic_pool_level,0.066667,0.253708,-0.024122,0.157455,0.100000,0.305129,-0.009189,0.209189,0.033333,0.413841,-0.114758,0.181424,1.000000
